Model,Test Acc,CV Mean
K-Nearest Neighbors,0.9111111111111111,0.96
Logistic Regression,0.9111111111111111,0.9533333333333334
Linear SVM,0.9111111111111111,0.9666666666666668
RBF SVM,0.9333333333333333,0.9666666666666666
Naive Bayes,0.9111111111111111,0.9533333333333334
LDA,0.9777777777777777,0.9800000000000001
Decision Tree,0.9111111111111111,0.9600000000000002
Random Forest,0.8888888888888888,0.96
Gradient Boosting,0.9777777777777777,0.9666666666666668
